LPID,ADate,StartTime,StopTime,DayNight,SCC,CenterLatdec,CenterLongdec
_200052_,14/10/2013,2013:287:10:58:58.1437110,2013:287:10:59:29.9137070,DAY,18.14,11.56748,-9.57056
_200053_,14/10/2013,2013:287:10:59:22.0432200,2013:287:10:59:53.8132160,DAY,51.24,10.12268,-9.88491
_200054_,14/10/2013,2013:287:10:59:45.9554370,2013:287:11:00:17.7254330,DAY,67.09,8.6769,-10.19748
_200055_,14/10/2013,2013:287:11:00:09.8634180,2013:287:11:00:41.6334140,DAY,84.09,7.23119,-10.50842
_202051_,12/10/2013,2013:285:11:10:56.4010650,2013:285:11:11:28.1710610,DAY,23.73,13.01254,-12.34423
_202052_,12/10/2013,2013:285:11:11:20.3048100,2013:285:11:11:52.0748060,DAY,9.24,11.56776,-12.66084
_202053_,12/10/2013,2013:285:11:11:44.2170270,2013:285:11:12:15.9870230,DAY,8.34,10.12222,-12.97534
_202054_,12/10/2013,2013:285:11:12:08.1165360,2013:285:11:12:39.8865320,DAY,30.88,8.67715,-13.28772
_202055_,12/10/2013,2013:285:11:12:32.0287530,2013:285:11:13:03.7987490,DAY,41.75,7.23121,-13.59871
_204051_,10/10/2013,2013:283:11:23:18.4310400,2013:283:11:23:50.2010360,DAY,77.11,13.0127,-15.43367
_204052_,10/10/2013,2013:283:11:23:42.3390210,2013:283:11:24:14.1090170,DAY,46.72,11.56769,-15.75031
_199051_,07/10/2013,2013:280:10:52:24.6625580,2013:280:10:52:56.4325540,DAY,4.92,13.01227,-7.70599
_199052_,07/10/2013,2013:280:10:52:48.5620670,2013:280:10:53:20.3320630,DAY,14.16,11.56782,-8.02255
_199053_,07/10/2013,2013:280:10:53:12.4742840,2013:280:10:53:44.2442800,DAY,36.84,10.12231,-8.33707
_199054_,07/10/2013,2013:280:10:53:36.3780290,2013:280:10:54:08.1480250,DAY,39.92,8.67705,-8.64954
_199055_,07/10/2013,2013:280:10:54:00.2902460,2013:280:10:54:32.0602420,DAY,56.91,7.23113,-8.96049
_201051_,05/10/2013,2013:278:11:04:46.2435660,2013:278:11:05:18.0135610,DAY,22.94,13.01224,-10.7938
_201052_,05/10/2013,2013:278:11:05:10.1430750,2013:278:11:05:41.9130700,DAY,44,11.56785,-11.11042
_201053_,05/10/2013,2013:278:11:05:34.0510550,2013:278:11:06:05.8210510,DAY,28.67,10.12257,-11.42485
_201054_,05/10/2013,2013:278:11:05:57.9590360,2013:278:11:06:29.7290320,DAY,58.91,8.67709,-11.73742
_201055_,05/10/2013,2013:278:11:06:21.8670170,2013:278:11:06:53.6370130,DAY,83.57,7.23145,-12.04835
_203051_,03/10/2013,2013:276:11:17:07.7229150,2013:276:11:17:39.4929110,DAY,48.83,13.0125,-13.88147
_203052_,03/10/2013,2013:276:11:17:31.6308960,2013:276:11:18:03.4008920,DAY,31.5,11.56757,-14.19817
_203053_,03/10/2013,2013:276:11:17:55.5346410,2013:276:11:18:27.3046370,DAY,35.6,10.12259,-14.5126
_198052_,30/09/2013,2013:273:10:46:37.0955930,2013:273:10:47:08.8655890,DAY,7.94,11.56771,-6.46867
_198053_,30/09/2013,2013:273:10:47:01.0035740,2013:273:10:47:32.7735700,DAY,7.11,10.12253,-6.78317
_198054_,30/09/2013,2013:273:10:47:24.9115550,2013:273:10:47:56.6815510,DAY,32.52,8.6771,-7.09573
_198055_,30/09/2013,2013:273:10:47:48.8280080,2013:273:10:48:20.5980040,DAY,56.7,7.23099,-7.40676
_200051_,28/09/2013,2013:271:10:58:34.3065940,2013:271:10:59:06.0765900,DAY,21.78,13.01259,-9.2384
_200052_,28/09/2013,2013:271:10:58:58.2145750,2013:271:10:59:29.9845710,DAY,57.78,11.56768,-9.55507
_200053_,28/09/2013,2013:271:10:59:22.1267920,2013:271:10:59:53.8967880,DAY,79.94,10.12225,-9.86959
_200054_,28/09/2013,2013:271:10:59:46.0305370,2013:271:11:00:17.8005330,DAY,65.09,8.6771,-10.18209
_200055_,28/09/2013,2013:271:11:00:09.9469900,2013:271:11:00:41.7169860,DAY,86.83,7.23102,-10.49313
_202052_,26/09/2013,2013:269:11:11:19.6088090,2013:269:11:11:51.3788050,DAY,38.58,11.56743,-12.64246
_202053_,26/09/2013,2013:269:11:11:43.5125540,2013:269:11:12:15.2825500,DAY,51.92,10.12253,-12.95685
_202054_,26/09/2013,2013:269:11:12:07.4247710,2013:269:11:12:39.1947670,DAY,63.91,8.67686,-13.26944
_202055_,26/09/2013,2013:269:11:12:31.3327520,2013:269:11:13:03.1027480,DAY,91.65,7.23126,-13.58037
_204051_,24/09/2013,2013:267:11:23:18.7893370,2013:267:11:23:50.5593330,DAY,36.56,13.01268,-15.42003
_204052_,24/09/2013,2013:267:11:23:42.7015540,2013:267:11:24:14.4715500,DAY,59.86,11.56753,-15.73677
_201051_,19/09/2013,2013:262:11:04:49.5012370,2013:262:11:05:21.2712330,DAY,5.83,13.01233,-10.79386
_201052_,19/09/2013,2013:262:11:05:13.4092180,2013:262:11:05:45.1792140,DAY,35.19,11.56753,-11.11057
_201053_,19/09/2013,2013:262:11:05:37.3129630,2013:262:11:06:09.0829590,DAY,90.79,10.12268,-11.42503
_201054_,19/09/2013,2013:262:11:06:01.2251800,2013:262:11:06:32.9951750,DAY,94.18,8.67711,-11.73765
